id,attribute,count
262,ale,1
262,hoppy,1
262,hoppy ale,1
7,@thereferendbierblendery,1
8,ale,1
8,cherry,1
8,fruit,1
8,lactose,1
8,raspberry,1
8,refermented,1
8,smoothie,1
8,smoothie ale,1
9,ale,1
9,american,1
9,american blonde,1
9,blonde,1
9,hopped,1
9,motueka,1
10,grist,1
10,ipa,1
10,oats,1
10,organic,1
11,ale,1
11,chamomile,2
11,dry hopped,1
11,flowers,1
11,fruity,1
11,hopped,1
11,lactose,1
12,cinnamon,1
12,imperial,1
12,imperial milk stout,1
12,maple,1
12,maple syrup,1
12,milk,1
12,milk stout,1
12,stout,1
12,syrup,1
12,vanilla,1
12,vanilla bean,1
19,yeast,1
20,@rojosroastery,1
20,carrion,1
20,collaboration,1
21,azacca,1
21,hopped,1
21,ipa,1
21,lupulin,1
21,powder,1
21,session,1
21,session ipa,1
21,simcoe,1
21,vic secret,1
49,hopped,1
49,lupulin,1
49,powder,1
57,keller,1
57,kölsch,1
57,wheat,1
68,ale,2
68,caramel,1
68,english,1
68,fermented,1
68,figs,1
68,lactose,1
68,strain,1
68,tarragon,1
68,yeast,1
71,conditioned,1
71,lactose,1
71,palo santo wood,1
74,citra,1
74,dryhopped,1
74,lactose,1
74,lupulin,1
74,pineapple,1
74,powder,1
74,refermented,1
74,simcoe,1
77,ale,1
77,galaxy,1
77,hopped,1
77,lupulin,1
77,mosaic,1
77,powder,1
81,hoppy,1
81,session,1
85,hoped,1
85,ipa,1
85,nelson,1
85,nelson sauvin,1
85,sauvin,1
85,session,1
85,triple,1
85,triple ipa,1
87,hopped,1
95,dry hopped,1
95,hopped,2
95,ipa,1
95,lupulin,1
95,mosaic,2
95,pellets,1
95,powder,1
95,session,1
95,session ipa,1
96,dipa,1
107,acid,2
107,ale,1
107,ascorbic,1
107,citric,1
107,citric acid,1
107,conditioned,1
107,confection,1
107,corn,1
107,dextrin,1
107,fruit,1
107,fruit juice,1
107,fruit juice concentrate,1
107,gelatin,1
107,hoppy,1
107,hoppy ale,1
107,hydrogenated,1
107,juice,1
107,natural,1
107,palm kernel oil,1
107,starch,1
107,sugar,1
107,syrup,1
109,ale,2
109,dry hopped,2
109,extra pale ale,2
109,hopped,2
109,lupulin,1
109,pale,2
109,pale ale,2
109,powder,1
109,simcoe,1
117,amarillo,1
117,citra,1
117,hopped,1
117,ipa,1
117,mosaic,1
117,triple,1
117,triple ipa,1
120,ale,1
120,coconut,1
120,conditioned,1
120,dessert,1
120,juice,1
120,key lime,1
120,lactose,1
120,lime zest,2
120,toasted,1
128,citra,1
128,enigma,1
128,hopped,1
128,ipa,1
134,eureka,1
134,hopped,1
134,lactose,1
134,oats,1
134,simcoe,1
140,ariana,1
140,belma,1
140,hopped,1
140,lupulin,1
140,powder,1
140,simcoe,1
151,ale,1
151,extra pale ale,1
151,galaxy,1
151,hopped,1
151,huell,1
151,melon,1
151,pale,1
151,pale ale,1
159,beans,1
159,cinnamon,1
159,coffee,1
159,hot,1
159,hot peppers,1
159,imperial,1
159,imperial milk porter,1
159,milk,1
159,milk porter,1
159,peppers,1
159,porter,1
159,vanilla,1
162,hopped,1
162,keller,1
162,kohatu,1
162,medusa,1
162,pilsner,1
168,dipa,1
168,spelt,1
183,coconut,1
183,conditioned,1
183,imperial,1
183,imperial milk stout,1
183,milk,1
183,milk stout,1
183,organic,1
183,stout,1
194,cinnamon,1
194,coffee,1
194,imperial,1
194,imperial milk stout,1
194,maple,1
194,maple syrup,1
194,milk,1
194,milk stout,1
194,stout,1
194,syrup,1
196,fermented,1
196,honey,1
196,sugars,1
196,wildflower honey,1
197,creamy,1
197,hops,1
197,ipa,1
198,boiled,1
198,cacao,2
198,cacao nibs,1
198,chocolate,1
198,conditioning,1
198,imperial,1
198,lactose,1
198,milk,1
198,stout,1
198,sweet,1
199,ale,1
199,fruit,1
199,kettle soured,1
199,kettle soured ale,1
199,lactose,1
199,mango,1
199,passion fruit,1
199,refermented,1
199,soured,1
199,soured ale,1
206,ale,1
206,fermentation,1
209,citra,1
209,hopped,1
209,ipa,1
218,@lairdsapplejack,1
218,aged,1
218,barrels,1
218,imperial,1
218,imperial milk stout,1
218,milk,1
218,milk stout,1
218,stout,1
232,banana,1
232,black walnut,1
232,cinnamon,1
232,conditioned,1
232,imperial,1
232,imperial milk stout,1
232,lactose,1
232,milk,1
232,milk stout,1
232,stout,1
232,tahitian vanilla,1
232,vanilla,1
263,soured,1
263,ale,1
263,lactose,1
263,refermented,1
263,fruit,1
263,peach,1
263,kettle soured,1
263,soured ale,1
263,passion fruit,1
263,kettle soured ale,1
264,hoppy,1
264,ale,1
264,hoppy ale,1
265,hoppy,1
265,ale,1
265,hoppy ale,1
266,hoppy,1
266,ale,1
266,lactose,1
266,conditioned,1
266,coconut,1
266,fresh,1
266,lemon zest,1
266,vanilla,1
266,hoppy ale,1
266,madagascar vanilla,1
267,fermented,1
267,hoppy ale,1
267,west coast,1
267,bicoastal,1
267,og,1
268,imperial,1
268,stout,1
268,conditioned,1
268,cacao,1
268,hot,1
268,peppers,1
268,cinnamon,1
268,vanilla,1
268,imperial stout,1
268,cacao nibs,1
268,hot peppers,1
268,tahitian vanilla,1
269,hoppy,1
269,ale,1
269,hoppy ale,1
270,soured,1
270,ale,1
270,lactose,1
270,refermented,1
270,mango,1
270,conditioned,1
270,vanilla,1
270,kettle soured,1
270,soured ale,1
270,tahitian vanilla,1
270,kettle soured ale,1
271,soured,1
271,ale,1
271,refermented,1
271,guava,1
271,strawberry,1
271,kettle soured,1
271,soured ale,1
271,kettle soured ale,1
272,hoppy,1
272,ale,1
272,hoppy ale,1
273,hoppy,1
273,ale,1
273,hoppy ale,1
274,imperial,1
274,milk,1
274,stout,1
274,lactose,1
274,conditioned,1
274,@rojosroastery,1
274,coffee,1
274,maple,1
274,syrup,1
274,cinnamon,1
274,milk stout,1
274,maple syrup,1
274,imperial milk stout,1
275,hoppy,1
275,ale,1
275,hoppy ale,1
276,hoppy,1
276,ale,1
276,hoppy ale,1
278,hoppy ale,1
278,lactose,1
278,conditioned,1
278,fresh clementine zest,1
278,clementine zest,1
278,clementine,1
278,immodest amount,1
278,madagascar vanilla,1
277,soured,1
277,ale,1
277,lactose,1
277,refermented,1
277,pineapple,1
277,conditioned,1
277,coconut,1
277,kettle soured,1
277,soured ale,1
277,kettle soured ale,1
279,hoppy,1
279,ale,1
279,hoppy ale,1
280,hoppy,1
280,ale,1
280,hoppy ale,1
281,baltic,1
281,porter,1
281,baltic porter,1
281,conditioned,1
281,@rojosroastery,1
281,coffee,1
282,hoppy,1
282,ale,1
282,hoppy ale,1
283,kettle-soured,1
283,ale,1
283,lactose,1
283,refermented,1
283,raspberry,1
283,black currant,1
284,lager,1
284,satsuma,1
284,mandarin,1
284,mandarin zest,1
284,chamomile,1
284,conditioned,1
285,hoppy,1
285,ale,1
285,hoppy ale,1
286,hoppy,1
286,ale,1
286,hoppy ale,1
287,hoppy,1
287,ale,1
287,hoppy ale,1
288,hoppy,1
288,ale,1
288,hoppy ale,1
289,tart cherry,1
289,cherry,1
289,sour,1
289,sour ale,1
289,lactose,1
289,refermented,1
289,conditioned,1
289,granola,1
289,maple syrup,1
289,maple,1
289,tahitian vanilla,1
289,vanilla,1
290,hoppy,1
290,ale,1
290,hoppy ale,1
291,imperial,1
291,milk,1
291,stout,1
291,lactose,1
291,conditioned,1
291,toasted,1
291,coconut,1
291,cinnamon,1
291,milk stout,1
291,toasted coconut,1
291,imperial milk stout,1
294,hoppy,1
294,ale,1
294,hoppy ale,1
295,sour,1
295,ale,1
295,lactose,1
295,refermented,1
295,guava,1
295,conditioned,1
295,vanilla,1
295,sour ale,1
295,tahitian vanilla,1
292,hoppy,1
292,ale,1
292,hoppy ale,1
296,hoppy,1
296,ale,1
296,hoppy ale,1
293,hoppy,1
293,ale,1
